domain,label,latency,loss,delta_min,delta_mean,delta_max,jitter_min,jitter_mean,jitter_max,emodel
amelkot,4.5,11.86,0.001,0.0,20.025,427.797,0.091,5.922,24.252,4.422620348692755
amelkot,4.0,94.94,0.027999999999999997,6.823,20.571,2239.418,0.711,5.936,23.902,4.380471306901912
amelkot,3.0,155.67,0.049,6.838,21.036,2457.705,0.052,3.935,39.49,4.34493751672282
amelkot,3.0,257.78,0.09300000000000001,7.634,22.062,2399.888,0.627,4.285,63.084,3.9756878152147475
amelkot,4.0,406.63,0.135,6.904,23.115,2940.526,0.585,6.87,101.563,3.0279105276038742
amelkot,3.0,423.38,0.146,6.844,23.413,2659.842,0.694,7.878,103.033,2.9078378916543715
amelkot,3.0,260.16,0.098,7.48,22.17,2518.458,0.704,4.674,63.552,3.962264120951451
amelkot,3.0,154.66,0.055,6.728,21.167,2300.637,0.034,4.213,40.283,4.344875974061226
amelkot,4.0,82.36,0.03,1.152,20.618,2568.585,0.054,5.343,22.684,4.386749322301232
amelkot,4.0,10.78,0.0,7.555,20.0,33.092,0.045,4.777,6.675,4.423171861912488
amelkot,4.0,88.64,0.0,7.752,20.0,32.827,0.62,3.542,5.907,4.386409559782455
amelkot,4.0,411.55,0.0,6.686,19.998,32.939,0.645,4.509,6.527,3.024893445088449
amelkot,3.0,405.5,0.036000000000000004,7.64,20.755,2429.112,0.554,5.964,96.895,3.0587046916665277
amelkot,2.5,405.7,0.076,6.767,21.644,3049.533,0.694,6.236,101.392,3.0480219537833584
amelkot,2.5,34.05,0.07400000000000001,7.666,21.606,2369.489,0.604,5.876,7.134,4.406395514793248
amelkot,4.5,157.91,0.0,1.116,20.0,39.157,0.039,3.634,5.946,4.348918898944252
amelkot,4.0,155.5,0.033,6.921,20.681,2940.271,0.681,5.421,6.682,4.346757713833809
amelkot,4.0,95.61,0.051,2.282,21.07,2259.338,0.057,5.936,23.546,4.377882164938842
amelkot,2.5,81.3,0.07200000000000001,6.704,21.539,2408.979,0.626,5.34,23.798,4.38329221622788
amelkot,3.0,79.47,0.11199999999999999,6.597,22.512,2599.902,0.01,4.368,22.633,4.380410696350346
amelkot,4.5,274.61,0.0,6.721,20.0,33.997,0.083,5.539,6.846,3.9018629525056863
amelkot,4.5,160.82,0.028999999999999998,7.654,20.592,2537.862,0.409,3.963,5.928,4.344113468671326
amelkot,4.0,255.05,0.061,6.941,21.308,2869.223,0.616,4.939,62.31,3.9954556956322502
amelkot,2.5,293.67,0.10099999999999999,7.673,22.238,2320.138,0.124,4.968,100.995,3.7741768998299103
amelkot,3.0,155.31,0.091,7.675,22.011,2648.945,0.626,6.131,40.736,4.340609487893811
amelkot,4.0,10.71,0.026000000000000002,1.127,20.529,2320.906,0.593,5.336,7.004,4.421076917567851
amelkot,4.0,30.26,0.049,7.539,21.034,2440.84,0.693,5.8,8.158,4.410329936533695
amelkot,3.0,21.47,0.095,6.825,22.093,2307.782,0.019,5.902,7.934,4.410448795801585
amelkot,2.5,377.21,0.136,1.19,23.155,3761.505,0.055,5.735,101.129,3.2311154865253116
amelkot,2.5,269.52,0.132,6.731,23.047,3201.681,0.696,6.567,66.59,3.9057131135636323
amelkot,3.0,80.47,0.115,1.171,22.6,2697.045,0.048,6.035,24.556,4.3796017939175345
amelkot,2.5,84.51,0.078,6.628,21.7,2280.977,0.001,5.945,22.544,4.381057748439021
amelkot,3.0,97.32,0.057,6.781,21.202,2697.699,0.051,5.348,22.983,4.3763959331416435
amelkot,3.0,160.87,0.034,7.682,20.697,2670.626,0.143,3.748,37.939,4.343542636016429
amelkot,4.5,155.67,0.0,6.728,19.998,32.883,0.104,5.834,6.709,4.350199620320099
amelkot,2.5,10.0,0.07400000000000001,0.0,21.607,2470.143,0.625,5.9,15.889,4.4174322455735595
amelkot,3.0,442.73,0.10300000000000001,6.794,22.293,3311.748,0.637,7.059,103.643,2.7813076304429325
amelkot,3.0,404.81,0.045,7.643,20.951,3140.094,0.018,6.177,101.581,3.0614194852394054
amelkot,4.0,405.81,0.0,6.892,19.998,33.659,0.122,5.761,6.576,3.0649452963982236
amelkot,4.5,80.65,0.0,7.624,20.0,33.013,0.011,3.542,5.881,4.390448344239139
amelkot,4.5,20.33,0.0,0.005,19.998,54.025,0.02,6.458,9.503,4.418977660566652
